CONTAINER_NAME,UTILIZATION
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000000/C0000000.CAT,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000002/C0000000.LRG,89.28
/home/db2i105/TESTDB/db2i105/NODE0000/DSSR/T0000003/C0000000.LRG,89.28
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000004/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0005/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000000.LRG,85.29
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000001.LRG,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000002.LRG,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000003.LRG,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000004.LRG,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000005/C0000005.LRG,70.57
/db2fs/db2inst1/NODE0003/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000000.TMP,77.86
/db2fs/db2inst1/NODE0000/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000001.TMP,73.46
/db2fs/db2inst1/NODE0004/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000002.TMP,73.15
/db2fs/db2inst1/NODE0001/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000003.TMP,71.03
/db2fs/db2inst1/NODE0002/TESTDB/db2i105/NODE0000/DSSR/T0000006/C0000004.TMP,70.57
